Replica;Seed;TotalRequests;TotalSuitcases;Delivered;Undelivered;LateSuitcases;TotalDelay;CapacityOverflow;WarehouseOverflow;Fitness;Semaphore;IterationsRun;Improvements;ExecutionTime
1;1;66073;121247;119743;1504;1520;9.14 days;0;275;30234413.96;GREEN;2;4;62257 ms
2;2;66073;121247;119732;1515;1558;12.21 days;0;278;30483221.25;GREEN;2;5;62151 ms
3;3;66073;121247;119755;1492;1529;13.52 days;0;264;30010351.74;GREEN;2;3;63315 ms
4;4;66073;121247;119779;1468;1490;10.57 days;0;269;29517556.53;GREEN;2;4;62796 ms
5;5;66073;121247;119845;1402;1435;12.29 days;0;255;28201728.75;GREEN;2;3;61399 ms
6;6;66073;121247;119723;1524;1557;11.87 days;0;320;30674186.88;GREEN;2;4;62343 ms
7;7;66073;121247;119740;1507;1549;20.15 days;0;277;30322514.86;GREEN;2;2;61932 ms
8;8;66073;121247;119793;1454;1480;14.72 days;0;296;29255472.01;GREEN;2;1;61981 ms
9;9;66073;121247;119745;1502;1551;18.94 days;0;321;30251394.1;GREEN;2;2;61999 ms
10;10;66073;121247;119762;1485;1514;13.98 days;0;325;29892898.26;GREEN;2;3;62833 ms
11;11;66073;121247;119773;1474;1495;6.55 days;0;199;29601155.21;GREEN;2;4;61933 ms
12;12;66073;121247;119753;1494;1529;14.29 days;0;339;30085929.38;GREEN;2;2;61389 ms
13;13;66073;121247;119731;1516;1537;8.07 days;0;260;30471807.08;GREEN;2;2;61740 ms
14;14;66073;121247;119755;1492;1535;11.70 days;0;250;30009170.07;GREEN;2;4;61953 ms
15;15;66073;121247;119733;1514;1541;12.65 days;0;277;30446764.51;GREEN;2;6;63126 ms
16;16;66073;121247;119743;1504;1513;2.44 days;0;240;30209243.82;GREEN;2;7;62008 ms
17;17;66073;121247;119775;1472;1495;7.05 days;0;284;29605704.65;GREEN;2;3;61697 ms
18;18;66073;121247;119691;1556;1578;9.22 days;0;375;31330422.29;GREEN;2;3;60927 ms
19;19;66073;121247;119767;1480;1511;11.76 days;0;313;29788675.62;GREEN;2;3;60947 ms
20;20;66073;121247;119767;1480;1511;14.30 days;0;277;29770930.42;GREEN;2;4;60942 ms
21;21;66073;121247;119720;1527;1542;5.68 days;0;266;30688568.4;GREEN;3;1;85080 ms
22;22;66073;121247;119782;1465;1495;9.56 days;0;303;29482455.63;GREEN;3;5;85548 ms
23;23;66073;121247;119733;1514;1527;5.04 days;0;300;30443504.1;GREEN;3;3;85507 ms
24;24;66073;121247;119747;1500;1544;18.16 days;0;210;30150816.39;GREEN;3;4;86881 ms
25;25;66073;121247;119765;1482;1497;3.27 days;0;299;29804826.74;GREEN;3;5;87783 ms
26;26;66073;121247;119777;1470;1492;6.08 days;0;265;29555107.92;GREEN;3;3;85759 ms
27;27;66073;121247;119772;1475;1488;4.72 days;0;312;29669472.36;GREEN;3;4;87630 ms
28;28;66073;121247;119787;1460;1477;5.95 days;0;289;29362095.49;GREEN;3;4;84915 ms
29;29;66073;121247;119819;1428;1455;13.17 days;0;284;28730317.36;GREEN;3;5;90283 ms
30;30;66073;121247;119762;1485;1518;10.62 days;0;274;29871062.15;GREEN;2;3;62369 ms
